time,target
0,64.41567734
1,64.47068717
2,63.21569949
3,61.35463276
4,59.59146646
5,58.63014958
6,60.15836522
7,65.72387338
8,72.18446216
9,82.0599985
10,86.91221945
11,86.07446853
12,81.5234303
13,72.68564896
14,61.77099388
15,48.90992772
16,38.97891532
17,24.14116468
18,11.99570536
19,33.75234569
20,80.73277146
21,122.3355728
22,153.6913038
23,169.1518933
24,168.5122937
25,150.5439892
26,114.5593884
27,64.34865242
28,21.5598525
29,11.58455971
30,20.80741761
31,20.96966764
32,22.70766235
33,25.46897254
34,28.77572345
35,31.55802983
36,33.33099788
37,38.00838491
38,41.40839773
39,44.49603267
40,46.57435979
41,48.8065566
42,50.88488381
43,51.45271304
44,52.45645539
45,51.85411869
46,49.74830303
47,49.25085535
48,48.32219433
49,46.82477725
50,45.42059143
51,45.79262025
52,44.40940009
53,45.01220293
54,46.68260226
55,46.62341789
56,48.3963869
57,48.5003496
58,46.94931357
59,46.57540161
60,45.64674116
61,47.55258394
62,50.62392359
63,58.49012413
64,66.47754053
65,73.75166963
66,78.74607466
67,75.09948852
68,69.85378134
69,61.30741502
70,49.23889299
71,38.5246801
72,26.69623995
73,12.03564653
74,5.988090269
75,38.36713928
76,86.27295226
77,125.0855646
78,154.7023457
79,166.235234
80,158.1084239
81,132.1611182
82,90.866492
83,39.67675477
84,4.831988291
85,6.276284362
86,11.32665958
87,12.9434411
88,15.25953297
89,16.37048572
90,16.42318047
91,19.65534914
92,23.70105546
93,27.4343839
94,31.61763303
95,33.66098964
96,32.53884947
97,35.68944494
98,37.73979022
99,38.35193364
100,41.54214107
101,43.85124503
102,42.42374626
103,42.24099852
104,43.24007455
105,39.63310204
106,37.64148603
107,39.52636543
108,40.97765112
109,43.04664317
110,46.96179614
111,46.70681367
112,46.58235493
113,48.12220287
114,49.29843393
115,47.55391917
116,49.06581316
117,49.30033293
118,51.99173141
119,60.42202153
120,69.53065643
121,77.43650208
122,83.90643468
123,84.92415786
124,81.57591429
125,72.79645739
126,62.91440044
127,51.45192972
128,41.72609235
129,28.77875844
