time,target
0,231.9990628
1,93.68404598
2,18.12884249
3,-8.559278394
4,-0.273108409
5,29.09456069
6,81.81414517
7,61.29821216
8,56.74723164
9,62.50388549
10,32.30709582
11,55.97967759
12,90.68016961
13,125.9213587
14,136.0692423
15,151.7368879
16,141.3857824
17,137.8201555
18,106.9700914
19,83.83089049
20,32.75454243
21,51.38908801
22,57.3056332
23,65.09386916
24,56.4088557
25,91.31348954
26,24.17611787
27,35.90811763
28,40.75192045
29,56.28098216
30,58.5372339
31,71.93794253
32,74.52970837
33,85.77874848
34,88.70602843
35,97.61458776
36,33.95431662
37,58.9163466
38,62.18833029
39,61.71429844
40,63.25654965
41,80.40474455
42,55.43399912
43,34.65434142
44,25.45499266
45,14.41410834
46,16.80436303
47,15.26680898
48,29.70821498
49,37.88611888
50,63.98472477
51,78.74289375
52,65.03715168
53,58.231085
54,66.85618785
55,33.32969655
56,98.64929177
57,87.26019446
58,82.29524763
59,62.74981261
60,62.9245791
61,45.54916135
62,47.53728618
63,32.75614108
64,36.28491918
65,24.39403671
66,92.31896733
67,64.89412266
68,65.38067212
69,60.69930052
70,66.26492487
71,35.58105469
72,72.00669876
73,94.63502724
74,114.7831178
75,123.0453613
76,127.7410936
77,123.3108665
78,112.5542101
79,95.32665416
80,68.95214272
81,38.76169998
82,62.25419678
83,66.74426936
84,61.91258178
85,71.76615308
86,38.21871007
87,57.39146856
88,82.58746812
89,110.8719858
90,117.284603
91,132.0141929
92,123.5222424
93,124.9090017
94,101.475191
95,89.08091781
96,38.72154335
97,59.35742533
98,61.37320731
99,69.58703503
100,60.12946271
101,95.51095785
102,56.1417988
103,35.95905829
104,9.11193677
105,5.29034513
106,-5.421762774
107,4.805447041
108,10.39391061
109,34.49511719
110,56.42138368
111,94.28934826
112,66.77259492
113,66.11126647
114,65.33328651
115,66.39443505
116,46.59997944
117,84.05956934
118,86.28831094
119,86.55424013
120,89.25835789
121,84.30737198
122,84.2141303
123,73.62197393
124,70.73137282
125,54.71017366
126,49.04552855
127,76.55799413
128,69.69508016
129,62.21902419
130,71.37460772
131,37.83080658
132,72.20068839
133,93.63574242
134,124.8726325
135,127.0604674
136,142.8006878
137,128.7948925
138,129.1223665
139,99.15838419
140,83.12676161
141,37.8572717
142,66.26138296
143,63.59547356
144,71.67775028
145,63.16321191
146,95.00757744
147,57.79824922
148,41.20423359
149,20.07867997
150,15.81553977
151,8.992846444
152,15.80881166
153,23.45450596
154,41.38686906
155,63.47763558
156,92.44247323
157,68.81980365
158,66.65863807
159,70.08245061
160,65.38732282
161,52.5102664
162,72.39073449
163,95.36438993
164,99.20042828
165,113.4582978
166,106.6438273
167,112.7150551
168,95.28739875
169,92.99718024
